,#SYM,CUR,NAME,CON,ISIN,REBATERATE,FEERATE,AVAILABLE
1201,7276,JPY,KOITO MANUFACTURING CO LTD,14017340,JP3284600008,-1.032,0.942,1600000
1202,7277,JPY,TBK CO LTD,14031958,JP3588200000,-1.031,0.941,200000
1203,7278,JPY,EXEDY CORP,14017345,JP3161160001,-1.044,0.954,1100000
1204,7279,JPY,HI-LEX CORP,49264775,JP3699600007,-1.945,1.855,200000
1205,7280,JPY,MITSUBA CORP,14017348,JP3895200008,-1.16,1.07,400000
1206,7282,JPY,TOYODA GOSEI CO LTD,14017355,JP3634200004,-1.013,0.923,2400000
1207,7283,JPY,AISAN INDUSTRY CO LTD,14017358,JP3101600009,-1.1025,1.0125,1400000
1208,7287,JPY,NIPPON SEIKI CO LTD,14031964,JP3720600000,-0.991,0.901,1000000
1209,7291,JPY,"NIHON PLAST CO., LTD",49597904,JP3749200006,-5.978,5.888,100000
1210,7292,JPY,MURAKAMI CORP,14031968,JP3914200005,-4.34,4.25,15000
1211,7294,JPY,YOROZU CORP,14017360,JP3961400003,-1.365,1.275,400000
1212,7296,JPY,FCC CO LTD,46021026,JP3166900005,-0.977,0.887,1100000
1213,7298,JPY,YACHIYO INDUSTRY CO LTD,131083074,JP3933000006,-1.84,1.75,95000
1214,7305,JPY,ARAYA INDUSTRIAL CO LTD,14017365,JP3125600001,-1.365,1.275,35000
1215,7309,JPY,SHIMANO INC,14017370,JP3358000002,-1.008,0.918,850000
1216,7313,JPY,TS TECH CO LTD,43169191,JP3539230007,-0.99,0.9,1500000
1217,7315,JPY,IJTT CO LTD,134127979,JP3102310004,-3.499,3.409,150000
1218,7321,JPY,KANSAI MIRAI FINANCIAL GROUP,309630179,JP3229500008,-1.033,0.943,1100000
1219,7322,JPY,SAN JU SAN FINANCIAL GROUP I,309630182,JP3333500001,-1.095,1.005,200000
1220,7327,JPY,DAISHI HOKUETSU FINANCIAL GR,332261988,JP3483850008,-1.1025,1.0125,650000
1221,7408,JPY,JAMCO CORP,14031988,JP3390000002,-4.572,4.482,95000
1222,7412,JPY,ATOM CORP,14031998,JP3121900009,-1.076,0.986,500000
1223,7414,JPY,ONOKEN CO LTD,46021031,JP3196700003,-0.997,0.907,250000
1224,7416,JPY,HARUYAMA HOLDINGS INC,14032001,JP3773600006,-2.1525,2.0625,90000
1225,7419,JPY,NOJIMA CORP,131083812,JP3761600000,-1.005,0.915,600000
1226,7420,JPY,SATORI ELECTRIC CO LTD,14032004,JP3322300009,-1.097,1.007,95000
1227,7421,JPY,KAPPA CREATE CO LTD,47419251,JP3212400000,-1.397,1.307,250000
1228,7433,JPY,HAKUTO CO LTD,14017382,JP3766400000,-1.066,0.976,250000
1229,7435,JPY,NADEX CO LTD,131082159,JP3651030003,-4.081,3.991,25000
1230,7438,JPY,KONDOTEC INC,14032016,JP3306050000,-1.088,0.998,150000
1231,7445,JPY,RIGHT ON CO LTD,14017388,JP3965600004,-1.856,1.766,55000
1232,7447,JPY,NAGAILEBEN CO LTD,14032021,JP3647000003,-0.994,0.904,150000
1233,7451,JPY,MITSUBISHI SHOKUHIN CO LTD,14017399,JP3976000004,-0.99,0.9,450000
1234,7453,JPY,RYOHIN KEIKAKU CO LTD,14017400,JP3976300008,-1.466,1.376,300000
1235,7455,JPY,PARIS MIKI HOLDINGS INC,14017405,JP3882600004,-0.949,0.859,100000
1236,7456,JPY,MATSUDA SANGYO CO LTD,14017410,JP3868500004,-1.04,0.95,100000
1237,7458,JPY,DAIICHIKOSHO CO LTD,131087459,JP3475200006,-0.991,0.901,950000
1238,7459,JPY,MEDIPAL HOLDINGS CORP,14017415,JP3268950007,-0.958,0.868,2300000
1239,7463,JPY,ADVAN CO LTD,14017416,JP3121950004,-1.075,0.985,150000
1240,7466,JPY,SPK CORPORATION,14032026,JP3163800000,-1.05,0.96,20000
1241,7467,JPY,HAGIWARA ELECTRIC HOLDINGS C,131087627,JP3765600006,-1.027,0.937,40000
1242,7475,JPY,ALBIS CO LTD,152238060,JP3126300007,-1.021,0.931,30000
1243,7476,JPY,AS ONE CORP,14017421,JP3131300000,-1.1025,1.0125,250000
1244,7482,JPY,SHIMOJIMA CO LTD,14032038,JP3359500000,-1.1025,1.0125,15000
1245,7483,JPY,DOSHISHA CO LTD,14017427,JP3638000004,-1.012,0.922,400000
1246,7494,JPY,KONAKA CO LTD,14017430,JP3300000001,-0.998,0.908,350000
1247,7504,JPY,KOHSOKU CORP,14032056,JP3288900008,-1.036,0.946,65000
1248,7508,JPY,G-7 HOLDINGS INC,14032064,JP3172450003,-1.0,0.91,100000
1249,7510,JPY,TAKEBISHI CORP,131086493,JP3463100002,-1.616,1.526,25000
1250,7512,JPY,AEON HOKKAIDO CORP,14017433,JP3860270002,-2.1525,2.0625,150000
1251,7513,JPY,KOJIMA CO LTD,14017436,JP3297380002,-2.415,2.325,250000
1252,7514,JPY,HIMARAYA CO LTD,14032069,JP3793500004,-2.983,2.893,35000
1253,7516,JPY,KOHNAN SHOJI CO LTD,14017440,JP3283750002,-1.075,0.985,850000
1254,7518,JPY,NET ONE SYSTEMS CO LTD,14017450,JP3758200004,-1.021,0.931,1800000
1255,7520,JPY,ECO'S CO LTD,47419257,JP3161180009,-2.203,2.113,30000
1256,7522,JPY,WATAMI CO LTD,14017455,JP3993900004,-2.24,2.15,350000
1257,7532,JPY,PAN PACIFIC INTERNATIONAL HO,14017457,JP3639650005,-1.365,1.275,2100000
1258,7537,JPY,MARUBUN CORP,14017460,JP3877500003,-1.365,1.275,450000
1259,7545,JPY,NISHIMATSUYA CHAIN CO LTD,14017467,JP3659300002,-1.067,0.977,350000
1260,7550,JPY,ZENSHO HOLDINGS CO LTD,14017470,JP3429300001,-1.039,0.949,1800000
1261,7552,JPY,HAPPINET CORP,14017475,JP3770300006,-1.34,1.25,500000
1262,7554,JPY,KOURAKUEN HOLDINGS CORP,47419260,JP3292400003,-2.84,2.75,100000
1263,7575,JPY,JAPAN LIFELINE CO LTD,131082780,JP3754500001,-1.673,1.583,950000
1264,7581,JPY,SAIZERIYA CO LTD,14017484,JP3310500008,-1.426,1.336,500000
1265,7591,JPY,EXCEL CO LTD,50037217,JP3161140003,-1.003,0.913,30000
1266,7593,JPY,VT HOLDINGS CO LTD,131087753,JP3854700006,-1.011,0.921,850000
1267,7594,JPY,MARUKA CORP,36518181,JP3873000008,-0.985,0.895,80000
1268,7595,JPY,ARGO GRAPHICS INC,40352429,JP3126110000,-1.051,0.961,250000
1269,7599,JPY,IDOM INC,14032104,JP3235700006,-1.972,1.882,950000
1270,7600,JPY,JAPAN MEDICAL DYNAMIC MKT,14017495,JP3689100000,-1.009,0.919,95000
1271,7605,JPY,FUJI CORP,131085044,JP3812300006,-4.156,4.066,20000
1272,7606,JPY,UNITED ARROWS LTD,55828916,JP3949400000,-1.077,0.987,850000
1273,7607,JPY,SHINWA CO LTD,131085971,JP3384710004,-1.095,1.005,30000
1274,7609,JPY,DAITRON CO LTD,14032118,JP3487600003,-1.048,0.958,70000
1275,7611,JPY,HIDAY HIDAKA CORP,56984519,JP3765180009,-1.069,0.979,150000
1276,7613,JPY,SIIX CORPORATION,14032121,JP3346700002,-3.131,3.041,95000
1277,7616,JPY,COLOWIDE CO LTD,14032130,JP3305970000,-1.896,1.806,600000
1278,7618,JPY,PC DEPOT CORP,131084510,JP3801520002,-6.9358,6.8458,200000
1279,7628,JPY,OHASHI TECHNICA INC,129106826,JP3173100003,-1.09,1.0,60000
1280,7630,JPY,ICHIBANYA CO LTD,129106764,JP3142150006,-1.891,1.801,30000
1281,7637,JPY,HAKUDO CO LTD,129106816,JP3766500007,-1.41,1.32,30000
1282,7649,JPY,SUGI HOLDINGS CO LTD,14017501,JP3397060009,-1.365,1.275,1200000
1283,7701,JPY,SHIMADZU CORP,14017505,JP3357200009,-0.956,0.866,3600000
1284,7702,JPY,JMS CO LTD,14017508,JP3386050003,-1.001,0.911,100000
1285,7703,JPY,KAWASUMI LABORATORIES INC,14032141,JP3225800006,-1.879,1.789,100000
1286,7705,JPY,GL SCIENCES INC,129106781,JP3385850007,-3.59,3.5,20000
1287,7713,JPY,SIGMA KOKI CO LTD,131083157,JP3349000004,-3.34,3.25,25000
1288,7715,JPY,NAGANO KEIKI CO LTD,129106821,JP3648350001,-1.1025,1.0125,100000
1289,7716,JPY,NAKANISHI INC,131083290,JP3642500007,-1.075,0.985,1200000
1290,7717,JPY,V TECHNOLOGY CO LTD,118863177,JP3829900004,-1.401,1.311,85000
1291,7718,JPY,STAR MICRONICS CO LTD,14017520,JP3399000003,-2.625,2.535,150000
1292,7721,JPY,TOKYO KEIKI INC,14017530,JP3624000000,-1.948,1.858,90000
1293,7723,JPY,AICHI TOKEI DENKI CO LTD,14017535,JP3104400001,-0.99,0.9,15000
1294,7729,JPY,TOKYO SEIMITSU CO LTD,14017543,JP3580200008,-1.04,0.95,950000
1295,7730,JPY,MANI INC,104786209,JP3869920003,-1.365,1.275,500000
1296,7731,JPY,NIKON CORP,13905838,JP3657400002,-0.969,0.879,6100000
1297,7732,JPY,TOPCON CORP,14017544,JP3630400004,-0.991,0.901,3500000
1298,7733,JPY,OLYMPUS CORP,14017549,JP3201200007,-1.365,1.275,>10000000
1299,7734,JPY,RIKEN KEIKI CO LTD,14017555,JP3971000009,-1.012,0.922,100000
1300,7735,JPY,SCREEN HOLDINGS CO LTD,14017558,JP3494600004,-1.6275,1.5375,650000
1301,7739,JPY,CANON ELECTRONICS INC,14017561,JP3243200007,-1.004,0.914,750000
1302,7740,JPY,TAMRON CO LTD,41664965,JP3471800007,-1.01,0.92,700000
1303,7741,JPY,HOYA CORPORATION,14017564,JP3837800006,-1.024,0.934,5100000
1304,7743,JPY,SEED CO LTD-TOKYO,131081699,JP3347000006,-5.926,5.836,25000
1305,7745,JPY,A&amp;D CO LTD,119657315,JP3160130005,-0.994,0.904,150000
1306,7747,JPY,ASAHI INTECC CO LTD,127011990,JP3110650003,-1.058,0.968,2300000
1307,7751,JPY,CANON INC,13905840,JP3242800005,-1.007,0.917,>10000000
1308,7752,JPY,RICOH CO LTD,13905845,JP3973400009,-0.983,0.893,9200000
1309,7762,JPY,CITIZEN WATCH CO LTD,13905850,JP3352400000,-1.365,1.275,6600000
1310,7769,JPY,RHYTHM WATCH CO LTD,14017588,JP3974200002,-1.048,0.958,85000
1311,7774,JPY,JAPAN TISSUE ENGINEERING CO,131083902,JP3389610001,-8.1899,8.0999,30000
1312,7775,JPY,DAIKEN MEDICAL CO LTD,129106798,JP3482500000,-2.277,2.187,100000
1313,7779,JPY,CYBERDYNE INC,144342535,JP3311530004,-15.6859,15.5959,80000
1314,7780,JPY,MENICON CO LTD,195586550,JP3921270009,-0.992,0.902,300000
1315,7816,JPY,SNOW PEAK INC,173246137,JP3399770001,-5.589,5.499,10000
1316,7817,JPY,PARAMOUNT BED HOLDINGS CO LT,95441356,JP3781620004,-0.981,0.891,300000
1317,7818,JPY,TRANSACTION CO LTD,131085175,JP3635670007,-3.757,3.667,20000
1318,7820,JPY,NIHON FLUSH CO LTD,48957630,JP3756230003,-2.603,2.513,20000
1319,7821,JPY,"MAEDA KOSEN CO., LTD",45593791,JP3861250003,-2.677,2.587,60000
1320,7822,JPY,EIDAI CO LTD,43220574,JP3160840009,-1.297,1.207,150000
1321,7823,JPY,ARTNATURE INC,131081554,JP3100210008,-1.088,0.998,400000
1322,7832,JPY,BANDAI NAMCO HOLDINGS INC,36215830,JP3778630008,-2.415,2.325,1700000
1323,7839,JPY,SHOEI CO LTD,46128150,JP3360900009,-1.653,1.563,20000
1324,7840,JPY,FRANCE BED HOLDINGS CO LTD,46046105,JP3826500005,-1.018,0.928,250000
1325,7844,JPY,MARVELOUS INC,116722061,JP3860230006,-3.81,3.72,350000
1326,7846,JPY,PILOT CORP,46624270,JP3780610006,-1.024,0.934,550000
1327,7856,JPY,HAGIHARA INDUSTRIES INC,14032190,JP3765500008,-1.929,1.839,40000
1328,7860,JPY,AVEX INC,14017595,JP3160950006,-0.994,0.904,1000000
1329,7862,JPY,TOPPAN FORMS CO LTD,14017598,JP3629200001,-1.365,1.275,900000
1330,7864,JPY,FUJI SEAL INTERNATIONAL INC,46046108,JP3813800004,-1.025,0.935,1100000
1331,7867,JPY,TOMY COMPANY LTD,14017603,JP3630550006,-0.992,0.902,1900000
1332,7874,JPY,LEC INC,14032195,JP3410800001,-1.283,1.193,70000
1333,7879,JPY,NODA CORP,14032198,JP3761700008,-6.84,6.75,100000
1334,7885,JPY,TAKANO CO LTD,14032201,JP3457750002,-1.995,1.905,100000
1335,7888,JPY,SANKO GOSEI LTD,131087247,JP3330900006,-5.53,5.44,85000
1336,7893,JPY,PRONEXUS INC,14032210,JP3119000002,-1.031,0.941,50000
1337,7898,JPY,WOOD ONE CO LTD,14017618,JP3390600009,-1.049,0.959,55000
1338,7905,JPY,DAIKEN CORP,14017623,JP3482600008,-1.043,0.953,100000
1339,7906,JPY,YONEX CO LTD,14032216,JP3960000002,-8.226,8.136,500000
1340,7911,JPY,TOPPAN PRINTING CO LTD,13905855,JP3629000005,-1.016,0.926,4100000
1341,7912,JPY,DAI NIPPON PRINTING CO LTD,13905858,JP3493800001,-0.987,0.897,4100000
1342,7914,JPY,KYODO PRINTING CO LTD,14017636,JP3252800002,-0.978,0.888,70000
1343,7915,JPY,NISSHA CO LTD,14017643,JP3713200008,-6.3411,6.2511,350000
1344,7917,JPY,FUJIMORI KOGYO CO LTD,53102176,JP3821000001,-0.84,0.75,200000
1345,7918,JPY,VIA HOLDINGS INC,131085929,JP3107200002,-4.228,4.138,60000
1346,7921,JPY,TAKARA PRINTING CO LTD,14032235,JP3459000000,-2.94,2.85,35000
1347,7925,JPY,MAEZAWA KASEI INDUSTRIES CO,14017646,JP3860250004,-1.096,1.006,350000
1348,7936,JPY,ASICS CORP,14017648,JP3118000003,-1.065,0.975,4300000
1349,7937,JPY,TSUTSUMI JEWELRY CO LTD,14017653,JP3533500009,-1.038,0.948,150000
1350,7942,JPY,JSP CORP,14032245,JP3386000008,-1.014,0.924,250000
1351,7943,JPY,NICHIHA CORP,14017658,JP3662200009,-0.988,0.898,1300000
1352,7947,JPY,FP CORP,14032250,JP3167000003,-1.098,1.008,400000
1353,7949,JPY,KOMATSU WALL INDUSTRY CO LTD,14017664,JP3303200004,-0.993,0.903,100000
1354,7951,JPY,YAMAHA CORP,13905863,JP3942600002,-1.034,0.944,2200000
1355,7952,JPY,KAWAI MUSICAL INSTRUMENTS MF,14017669,JP3221400009,-0.988,0.898,95000
1356,7955,JPY,CLEANUP CORP,14017674,JP3270200003,-1.012,0.922,300000
1357,7956,JPY,PIGEON CORP,14017679,JP3801600002,-1.557,1.467,1200000
1358,7958,JPY,TENMA CORP,14017681,JP3547800007,-0.974,0.884,400000
1359,7962,JPY,KING JIM CO LTD,14032255,JP3262000007,-1.313,1.223,100000
